Neptunkód;Hiányzó feladatok száma;Kész feladatok száma;Határidőre kész feladat;Pontszám;W1;W2;W3;W4;W5;W6;W7;W8;W9;W10;W11;W12
L4Y0MA;10;2;2;3;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
Q5OVNN;10;2;2;3;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
CK0H87;10;2;2;3;1,5;1,5;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
CE3DIL;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
GDH7WF;10;2;2;3;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
A6YJ6V;10;2;2;3;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
CBPXM3;11;1;1;1,5;1,5;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
AIOOD1;9;3;3;4,5;1,5;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
PCC0RM;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
KWHNT0;10;2;2;3;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
JQB372;10;2;2;3;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
CD1OE7;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
BFL0NV;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
G3Y2TA;10;2;2;3;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
LZFS7H;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
XMOZ9T;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
G2TMEQ;10;2;2;3;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
IZBZI5;10;2;2;3;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
G39U1B;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
FJCAGZ;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
CRFLYO;12;0;0;0;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
ZLIGFG;10;2;2;3;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
Q59R7A;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
T7OWJ7;12;0;0;0;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
